"id","ano","alunos_previstos","alunos_avaliados","percentual_avaliados","proficiencia_media","abaixo_basico","basico","adequado","avancado","taxa_participacao","meta_estabelecida","variacao_ano_anterior","posicao_municipio","data_atualizacao","observacoes","disciplina_id","escola_id","serie_id"
"4",2023,43,42,"98.00","461.00","0.24","0.36","0.40","0.00",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",30,"1"
"5",2023,57,52,"91.00","464.00","0.15","0.56","0.21","0.08",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",72,"1"
"6",2023,31,27,"87.00","555.00","0.00","0.22","0.52","0.26",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",71,"1"
"7",2023,41,34,"83.00","445.00","0.29","0.50","0.18","0.03",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",73,"1"
"8",2023,73,75,"100.00","478.00","0.15","0.43","0.40","0.03",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",1,"1"
"9",2023,22,19,"86.00","479.00","0.16","0.42","0.42","0.00",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",2,"1"
"10",2023,91,78,"86.00","454.00","0.26","0.46","0.23","0.05",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",4,"1"
"11",2023,156,152,"97.00","473.00","0.20","0.43","0.32","0.06",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",6,"1"
"12",2023,62,56,"90.00","451.00","0.27","0.46","0.23","0.04",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",9,"1"
"13",2023,70,69,"99.00","502.00","0.09","0.35","0.51","0.06",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",10,"1"
"14",2023,17,16,"94.00","572.00","0.00","0.06","0.75","0.19",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",18,"1"
"15",2023,19,18,"95.00","506.00","0.22","0.11","0.50","0.17",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",31,"1"
"16",2023,16,16,"100.00","455.00","0.19","0.50","0.31","0.00",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",51,"1"
"17",2023,14,13,"93.00","584.00","0.08","0.08","0.23","0.62",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",7,"1"
"18",2023,22,18,"82.00","480.00","0.17","0.44","0.33","0.06",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",50,"1"
"19",2023,27,28,"100.00","523.00","0.00","0.29","0.68","0.04",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",20,"1"
"20",2023,13,13,"100.00","473.00","0.38","0.08","0.46","0.08",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",15,"1"
"21",2023,104,108,"100.00","470.00","0.19","0.42","0.33","0.06",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",16,"1"
"22",2023,27,26,"96.00","433.00","0.31","0.50","0.19","0.00",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",17,"1"
"23",2023,16,15,"94.00","482.00","0.13","0.53","0.20","0.13",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",32,"1"
"24",2023,73,63,"86.00","491.00","0.16","0.38","0.30","0.16",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",33,"1"
"25",2023,24,25,"100.00","512.00","0.08","0.36","0.52","0.04",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",34,"1"
"26",2023,58,59,"100.00","489.00","0.14","0.46","0.36","0.05",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",35,"1"
"27",2023,52,41,"79.00","497.00","0.12","0.37","0.46","0.05",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",36,"1"
"28",2023,75,60,"80.00","473.00","0.22","0.45","0.28","0.05",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",37,"1"
"29",2023,57,50,"88.00","468.00","0.18","0.50","0.26","0.06",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",38,"1"
"30",2023,11,10,"91.00","601.00","0.00","0.00","0.60","0.40",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",39,"1"
"31",2023,17,15,"88.00","513.00","0.00","0.47","0.47","0.07",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",41,"1"
"32",2023,24,24,"100.00","447.00","0.21","0.58","0.21","0.00",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",45,"1"
"33",2023,19,19,"100.00","468.00","0.21","0.47","0.32","0.00",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",46,"1"
"34",2023,50,47,"94.00","507.00","0.09","0.28","0.64","0.00",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",47,"1"
"35",2023,30,26,"87.00","510.00","0.08","0.50","0.23","0.19",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",48,"1"
"36",2023,83,81,"98.00","468.00","0.12","0.56","0.28","0.04",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",52,"1"
"37",2023,147,139,"95.00","473.00","0.17","0.48","0.29","0.05",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",53,"1"
"38",2023,23,22,"96.00","473.00","0.23","0.50","0.23","0.05",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",69,"1"
"39",2023,103,103,"100.00","456.00","0.25","0.43","0.28","0.04",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",70,"1"
"40",2023,14,14,"100.00","525.00","0.14","0.14","0.64","0.07",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",54,"1"
"41",2023,22,22,"100.00","459.00","0.27","0.36","0.36","0.00",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",55,"1"
"42",2023,154,142,"92.00","452.00","0.20","0.56","0.23","0.01",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",56,"1"
"43",2023,49,42,"86.00","512.00","0.07","0.38","0.40","0.14",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",57,"1"
"44",2023,46,39,"85.00","467.00","0.23","0.44","0.28","0.05",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",59,"1"
"45",2023,75,71,"95.00","425.00","0.39","0.39","0.21","0.00",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",60,"1"
"46",2023,28,26,"93.00","467.00","0.15","0.58","0.27","0.00",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",61,"1"
"47",2023,148,138,"93.00","440.00","0.29","0.54","0.16","0.01",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",29,"1"
"48",2023,42,41,"98.00","459.00","0.20","0.51","0.24","0.05",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",62,"1"
"49",2023,111,104,"94.00","461.00","0.22","0.46","0.29","0.03",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",63,"1"
"50",2023,58,54,"93.00","494.00","0.09","0.44","0.39","0.07",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",64,"1"
"51",2023,47,43,"91.00","450.00","0.28","0.42","0.23","0.07",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",65,"1"
"52",2023,82,76,"93.00","527.00","0.09","0.21","0.54","0.16",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",66,"1"
"53",2023,67,63,"94.00","442.00","0.24","0.57","0.19","0.00",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",43,"1"
"54",2023,21,21,"100.00","454.00","0.29","0.43","0.29","0.00",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",67,"1"
"55",2023,147,144,"98.00","472.00","0.23","0.36","0.37","0.04",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",12,"1"
"56",2023,51,48,"94.00","633.00","0.00","0.02","0.10","0.88",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",58,"1"
"57",2023,19,20,"100.00","438.00","0.40","0.35","0.20","0.05",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",74,"1"
"58",2023,14,12,"86.00","538.00","0.08","0.17","0.50","0.25",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",75,"1"
"59",2023,32,31,"97.00","524.00","0.00","0.19","0.77","0.03",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",19,"1"
"60",2023,79,76,"96.00","466.00","0.17","0.49","0.30","0.04",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",76,"1"
"61",2023,20,16,"80.00","651.00","0.00","0.00","0.13","0.88",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",77,"1"
"62",2023,54,52,"96.00","492.00","0.15","0.31","0.46","0.08",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",78,"1"
"63",2023,25,24,"96.00","622.00","0.00","0.00","0.08","0.92",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",79,"1"
"64",2023,114,101,"89.00","474.00","0.21","0.38","0.37","0.05",NULL,NULL,NULL,NULL,"2026-02-06 18:50:55.547396-03",NULL,"2",68,"1"
"189",2023,41,38,"93.00","198.00","0.18","0.26","0.45","0.11",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",30,"2"
"190",2023,62,59,"95.00","191.00","0.27","0.27","0.36","0.10",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",72,"2"
"191",2023,47,43,"91.00","207.00","0.14","0.30","0.35","0.21",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",71,"2"
"192",2023,43,35,"81.00","168.00","0.43","0.34","0.17","0.06",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",73,"2"
"193",2023,54,49,"91.00","227.00","0.12","0.22","0.29","0.37",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",1,"2"
"194",2023,12,11,"92.00","211.00","0.00","0.55","0.27","0.18",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",2,"2"
"195",2023,14,13,"93.00","165.00","0.46","0.23","0.23","0.08",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",3,"2"
"196",2023,98,91,"93.00","172.00","0.36","0.38","0.23","0.02",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",4,"2"
"197",2023,16,15,"94.00","175.00","0.27","0.47","0.20","0.07",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",5,"2"
"198",2023,131,127,"97.00","185.00","0.29","0.37","0.24","0.10",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",6,"2"
"199",2023,50,46,"92.00","189.00","0.30","0.30","0.28","0.11",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",9,"2"
"200",2023,75,69,"92.00","219.00","0.09","0.28","0.38","0.26",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",10,"2"
"201",2023,14,10,"71.00","203.00","0.10","0.30","0.40","0.20",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",11,"2"
"202",2023,21,19,"90.00","174.00","0.21","0.53","0.26","0.00",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",31,"2"
"203",2023,17,14,"82.00","162.00","0.43","0.50","0.07","0.00",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",51,"2"
"204",2023,25,21,"84.00","213.00","0.10","0.43","0.19","0.29",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",7,"2"
"205",2023,24,21,"88.00","220.00","0.10","0.33","0.24","0.33",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",20,"2"
"206",2023,18,17,"94.00","183.00","0.18","0.59","0.24","0.00",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",13,"2"
"207",2023,22,20,"91.00","176.00","0.25","0.50","0.20","0.05",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",15,"2"
"208",2023,65,62,"95.00","215.00","0.11","0.27","0.37","0.24",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",16,"2"
"209",2023,15,12,"80.00","185.00","0.33","0.25","0.33","0.08",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",17,"2"
"210",2023,67,64,"96.00","203.00","0.22","0.20","0.42","0.16",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",33,"2"
"211",2023,57,50,"88.00","206.00","0.16","0.34","0.24","0.26",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",35,"2"
"212",2023,57,45,"79.00","203.00","0.16","0.33","0.33","0.18",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",36,"2"
"213",2023,52,49,"94.00","185.00","0.33","0.37","0.16","0.14",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",37,"2"
"214",2023,63,59,"94.00","210.00","0.20","0.24","0.29","0.27",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",38,"2"
"215",2023,29,31,"100.00","205.00","0.19","0.23","0.39","0.19",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",39,"2"
"216",2023,10,10,"100.00","166.00","0.50","0.20","0.30","0.00",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",40,"2"
"217",2023,14,15,"100.00","206.00","0.07","0.33","0.53","0.07",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",44,"2"
"218",2023,13,14,"100.00","200.00","0.07","0.57","0.07","0.29",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",45,"2"
"219",2023,18,15,"83.00","210.00","0.13","0.20","0.47","0.20",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",46,"2"
"220",2023,46,43,"93.00","212.00","0.09","0.35","0.37","0.19",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",47,"2"
"221",2023,120,116,"97.00","204.00","0.26","0.22","0.25","0.27",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",53,"2"
"222",2023,27,27,"100.00","220.00","0.07","0.33","0.30","0.30",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",69,"2"
"223",2023,98,90,"92.00","205.00","0.19","0.24","0.36","0.21",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",70,"2"
"224",2023,15,15,"100.00","190.00","0.07","0.53","0.40","0.00",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",54,"2"
"225",2023,24,22,"92.00","192.00","0.18","0.41","0.32","0.09",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",55,"2"
"226",2023,94,92,"98.00","212.00","0.11","0.28","0.41","0.20",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",56,"2"
"227",2023,32,32,"100.00","211.00","0.06","0.38","0.41","0.16",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",57,"2"
"228",2023,24,25,"100.00","166.00","0.44","0.40","0.12","0.04",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",59,"2"
"229",2023,49,46,"94.00","192.00","0.26","0.35","0.24","0.15",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",28,"2"
"230",2023,38,37,"97.00","196.00","0.14","0.43","0.32","0.11",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",60,"2"
"231",2023,119,115,"97.00","195.00","0.24","0.37","0.15","0.23",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",61,"2"
"232",2023,105,89,"85.00","194.00","0.20","0.45","0.20","0.15",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",29,"2"
"233",2023,41,40,"98.00","200.00","0.18","0.28","0.38","0.18",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",62,"2"
"234",2023,103,99,"96.00","201.00","0.23","0.24","0.32","0.20",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",63,"2"
"235",2023,82,73,"89.00","219.00","0.16","0.21","0.32","0.32",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",64,"2"
"236",2023,55,49,"89.00","202.00","0.16","0.31","0.41","0.12",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",65,"2"
"237",2023,142,131,"92.00","202.00","0.14","0.35","0.34","0.18",NULL,NULL,NULL,NULL,"2026-02-09 09:30:54.811402-03",NULL,"1",66,"2"
