"id","ano","alunos_previstos","alunos_avaliados","taxa_participacao","taxa_aprovacao","media_lp","media_mt","media_geral","ideb_estimado","data_atualizacao","escola_id","serie_id"
"241",2025,64,59,"92.19","1.00","270.03","271.00","5.68","5.68","2026-04-16 12:55:16.410686-03",1,"3"
"242",2025,50,48,"96.00","1.00","243.71","268.07","7.51","7.51","2026-04-16 12:45:49.082038-03",1,"2"
"243",2025,57,52,"91.23","0.79","236.08","242.38","4.64","3.67","2026-04-24 12:16:46.282605-03",2,"3"
"244",2025,18,18,"100.00","0.98","184.71","207.38","5.28","5.17","2026-04-24 12:16:27.133684-03",2,"2"
"245",2025,18,15,"83.33","0.97","228.67","232.11","6.55","6.35","2026-04-24 12:20:02.603422-03",3,"2"
"246",2025,31,28,"90.32","0.93","234.91","236.29","4.52","4.20","2026-04-24 12:20:20.924782-03",3,"3"
"247",2025,105,94,"89.52","0.93","172.75","183.38","4.60","4.28","2026-04-24 12:23:20.615617-03",4,"2"
"248",2025,37,31,"83.78","0.84","221.11","236.82","4.30","3.61","2026-04-24 12:23:34.693204-03",4,"3"
"249",2025,13,13,"100.00","1.00","188.94","196.84","5.16","5.16","2026-04-24 14:53:03.126843-03",5,"2"
"250",2025,28,23,"82.14","1.00","232.77","233.33","4.44","4.44","2026-04-24 14:50:20.764561-03",5,"3"
"251",2025,134,132,"98.51","0.99","200.17","210.47","5.62","5.56","2026-04-27 09:28:51.683942-03",6,"2"
"252",2025,34,31,"91.18","0.91","252.84","243.91","4.95","4.50","2026-04-24 16:20:51.330625-03",7,"3"
"253",2025,16,16,"100.00","0.98","219.32","225.61","6.26","6.13","2026-04-24 16:21:08.560707-03",7,"2"
"254",2025,61,56,"91.80","0.82","177.81","177.57","4.59","3.76","2026-04-24 15:46:57.574828-03",9,"2"
"255",2025,41,41,"100.00","0.83","234.17","225.39","4.33","3.59","2026-04-24 15:46:38.408276-03",9,"3"
"256",2025,89,88,"98.88","0.97","209.43","221.89","6.01","5.83","2026-04-24 15:08:32.093464-03",10,"2"
"257",2025,10,10,"100.00","1.00","197.97","238.36","6.11","6.11","2026-04-27 09:11:57.352304-03",13,"2"
"258",2025,12,12,"100.00","0.90","251.45","229.55","4.68","4.22","2026-04-27 09:11:48.864801-03",13,"3"
"259",2025,109,106,"97.25","0.91","251.80","248.20","5.00","4.55","2026-04-24 15:29:21.224767-03",14,"3"
"260",2025,15,15,"100.00","1.00","175.87","193.65","4.86","4.86","2026-04-24 16:27:27.571132-03",15,"2"
"261",2025,71,71,"100.00","0.99","200.88","210.34","5.63","5.57","2026-04-27 09:38:01.835684-03",16,"2"
"262",2025,11,10,"90.91","0.96","270.01","251.11","5.35","5.14","2026-04-24 16:31:04.444233-03",17,"3"
"263",2025,15,12,"80.00","0.97","200.97","213.66","5.70","5.52","2026-04-24 16:30:56.002555-03",17,"2"
"264",2025,48,47,"97.92","1.00","216.34","240.33","6.48","6.48","2026-04-27 09:47:49.023251-03",19,"2"
"265",2025,35,35,"100.00","1.00","270.66","275.08","5.76","5.76","2026-04-27 09:47:42.470827-03",19,"3"
"266",2025,11,11,"100.00","1.00","253.69","240.86","4.91","4.91","2026-04-27 09:28:05.224907-03",21,"3"
"267",2025,97,97,"100.00","1.00","230.79","242.36","6.79","6.79","2026-04-27 09:20:43.194559-03",22,"2"
"268",2025,31,31,"100.00","1.00","221.98","229.04","6.37","6.37","2026-04-27 09:22:56.775-03",20,"2"
"269",2025,52,50,"96.15","0.93","233.63","237.61","4.52","4.20","2026-04-24 16:09:08.633406-03",28,"3"
"270",2025,25,25,"100.00","0.97","203.75","218.47","5.84","5.66","2026-04-24 16:08:59.910374-03",28,"2"
"271",2025,95,90,"94.74","0.97","186.25","196.27","5.10","4.94","2026-04-24 16:00:40.863902-03",29,"2"
"272",2025,136,118,"86.76","0.92","238.83","233.79","4.54","4.18","2026-04-24 15:38:53.793223-03",30,"3"
"273",2025,61,57,"93.44","0.94","204.24","217.60","5.83","5.48","2026-04-24 15:38:31.545966-03",30,"2"
"274",2025,16,16,"100.00","1.00","213.48","233.11","6.29","6.29","2026-04-27 10:01:53.303272-03",31,"2"
"275",2025,17,17,"100.00","0.96","195.14","201.14","5.35","5.14","2026-04-27 09:08:32.566033-03",32,"2"
"276",2025,63,55,"87.30","0.97","204.39","219.56","5.87","5.69","2026-04-24 15:39:22.35813-03",33,"2"
"277",2025,23,20,"86.96","0.97","185.67","201.39","5.18","5.03","2026-04-24 16:42:24.553829-03",34,"2"
"278",2025,39,39,"100.00","0.77","244.59","250.81","4.92","3.79","2026-04-24 16:42:59.650133-03",34,"3"
"279",2025,63,63,"100.00","0.99","212.47","223.79","6.10","6.04","2026-04-24 15:51:09.854355-03",35,"2"
"280",2025,44,42,"95.45","1.00","214.06","218.15","6.02","6.02","2026-04-24 15:40:19.813481-03",36,"2"
"281",2025,55,50,"90.91","0.91","199.00","215.00","5.69","5.17","2026-04-24 15:40:58.927474-03",37,"2"
"282",2025,35,35,"100.00","0.91","223.27","233.38","4.28","3.89","2026-04-24 15:42:14.157505-03",38,"3"
"283",2025,48,43,"89.58","0.93","212.81","229.26","6.21","5.77","2026-04-24 15:41:26.854648-03",38,"2"
"284",2025,23,22,"95.65","0.97","215.89","214.72","5.99","5.81","2026-04-24 16:03:19.640525-03",39,"2"
"285",2025,23,22,"95.65","0.96","251.20","235.26","4.77","4.58","2026-04-24 16:03:10.153889-03",39,"3"
"286",2025,12,10,"83.33","0.98","208.32","203.35","5.63","5.52","2026-04-24 16:37:10.217979-03",41,"2"
"288",2025,74,74,"100.00","0.99","194.23","199.67","5.31","5.25","2026-04-27 09:21:43.892514-03",43,"2"
"289",2025,14,14,"100.00","0.98","203.88","211.44","5.71","5.59","2026-04-24 15:44:42.439904-03",45,"2"
"290",2025,25,24,"96.00","0.99","200.18","208.76","5.59","5.53","2026-04-24 16:50:46.151616-03",46,"2"
"291",2025,47,45,"95.74","0.98","207.60","219.82","5.93","5.81","2026-04-24 15:45:55.514966-03",47,"2"
"292",2025,98,94,"95.92","0.91","260.49","251.47","5.20","4.73","2026-04-24 12:13:02.199664-03",49,"3"
"294",2025,11,11,"100.00","0.96","249.73","242.24","4.87","4.67","2026-04-24 16:39:50.006756-03",51,"3"
"295",2025,23,23,"100.00","0.94","200.24","203.30","5.48","5.16","2026-04-24 16:39:42.676792-03",51,"2"
"296",2025,118,118,"100.00","0.96","210.87","217.61","5.95","5.71","2026-04-27 09:39:02.706563-03",53,"2"
"297",2025,15,15,"100.00","1.00","196.71","221.16","5.76","5.76","2026-04-27 09:11:09.180516-03",54,"2"
"298",2025,19,18,"94.74","1.00","237.55","268.67","5.10","5.10","2026-04-27 09:10:58.721563-03",54,"3"
"299",2025,20,20,"100.00","0.94","227.86","250.70","6.89","6.48","2026-04-27 09:58:39.195526-03",55,"2"
"300",2025,17,17,"100.00","0.95","225.22","228.72","4.23","4.02","2026-04-27 09:59:20.164697-03",55,"3"
"301",2025,90,90,"100.00","0.93","195.18","198.39","5.30","4.93","2026-04-24 15:12:39.591178-03",56,"2"
"302",2025,41,41,"100.00","1.00","206.01","200.76","5.54","5.54","2026-04-24 15:28:51.3853-03",57,"2"
"303",2025,69,61,"88.41","0.83","231.05","229.86","4.35","3.61","2026-04-24 15:03:53.502988-03",58,"3"
"304",2025,63,56,"88.89","0.98","182.50","189.99","4.91","4.81","2026-04-24 15:03:01.31807-03",58,"2"
"305",2025,37,32,"86.49","0.95","175.61","181.99","4.63","4.40","2026-04-27 09:06:30.835044-03",59,"2"
"306",2025,43,39,"90.70","0.89","229.33","239.13","4.47","3.98","2026-04-27 09:06:55.326441-03",59,"3"
"307",2025,31,26,"83.87","0.91","218.61","213.57","3.87","3.52","2026-04-24 15:26:41.608675-03",60,"3"
"308",2025,53,48,"90.57","0.89","202.26","205.33","5.56","4.95","2026-04-24 15:26:28.455841-03",60,"2"
"309",2025,60,57,"95.00","0.96","190.22","205.24","5.34","5.13","2026-04-24 15:33:22.18078-03",61,"2"
"310",2025,58,53,"91.38","0.97","227.18","228.87","4.27","4.14","2026-04-24 15:33:32.169867-03",61,"3"
"311",2025,48,45,"93.75","0.92","261.58","249.72","5.19","4.77","2026-04-27 09:44:59.821817-03",62,"3"
"312",2025,38,38,"100.00","0.96","194.53","219.43","5.69","5.46","2026-04-27 09:44:47.418228-03",62,"2"
"313",2025,100,99,"99.00","0.99","195.23","210.25","5.53","5.47","2026-04-24 15:34:40.504177-03",63,"2"
"314",2025,60,59,"98.33","1.00","205.83","222.43","5.95","5.95","2026-04-24 15:31:33.903463-03",64,"2"
"315",2025,24,21,"87.50","1.00","214.89","226.69","6.20","6.20","2026-04-24 15:35:44.116048-03",65,"2"
"316",2025,125,112,"89.60","0.93","211.88","229.38","6.19","5.76","2026-04-27 09:40:36.222748-03",66,"2"
"317",2025,19,18,"94.74","0.95","223.55","249.39","6.79","6.45","2026-04-24 16:10:09.008285-03",67,"2"
"318",2025,83,73,"87.95","0.94","248.41","246.54","4.92","4.62","2026-04-24 15:53:09.814302-03",68,"3"
"319",2025,112,112,"100.00","0.94","193.47","210.52","5.50","5.17","2026-04-24 15:52:07.769217-03",68,"2"
"320",2025,21,20,"95.24","1.00","212.39","225.29","6.13","6.13","2026-04-27 09:34:28.215259-03",69,"2"
"321",2025,97,95,"97.94","0.98","187.09","199.04","5.16","5.06","2026-04-27 09:36:59.953658-03",70,"2"
"322",2025,24,23,"95.83","0.97","193.00","208.37","5.45","5.29","2026-04-24 15:13:50.851129-03",71,"2"
"323",2025,65,59,"90.77","0.99","174.87","180.00","4.58","4.53","2026-04-24 15:54:36.43933-03",72,"2"
"324",2025,88,78,"88.64","0.94","231.90","231.90","4.40","4.13","2026-04-24 15:54:26.147649-03",72,"3"
